##
#
"418770944","418775039","US","USA","United States"
"418775040","418799615","CA","CAN","Canada"
"418799616","419430399","US","USA","United States"
"419430400","436207615","GB","GBR","United Kingdom"
"436207616","452984831","US","USA","United States"
"452984832","452985855","JP","JPN","Japan"
"452985856","452986879","MY","MYS","Malaysia"
"452986880","452987903","SG","SGP","Singapore"
"452987904","452988927","VN","VNM","Viet Nam"
"452988928","452997119","JP","JPN","Japan"
"452997120","453001215","IN","IND","India"
"453001216","453009407","AU","AUS","Australia"
"453009408","453017599","BD","BGD","Bangladesh"
"453050368","453115903","KR","KOR","Korea Republic of"
"453115904","453246975","VN","VNM","Viet Nam"
"453246976","453509119","IN","IND","India"
"453509120","455081983","CN","CHN","China"
"455081984","455213055","AU","AUS","Australia"
"455213056","455245823","NP","NPL","Nepal"
"455245824","455258111","JP","JPN","Japan"
"455258112","455262207","SG","SGP","Singapore"
"455262208","455270399","JP","JPN","Japan"
"455270400","455272447","AU","AUS","Australia"
"455272448","455274495","CN","CHN","China"
"455274496","455278591","IN","IND","India"
"455278592","455344127","KR","KOR","Korea Republic of"
"455344128","456130559","CN","CHN","China"
"456130560","456261631","IN","IND","India"
"456261632","456262655","PH","PHL","Philippines"
"456262656","456263679","IN","IND","India"
"456263680","456264703","NP","NPL","Nepal"
"456264704","456265727","JP","JPN","Japan"
"456265728","456269823","ID","IDN","Indonesia"
"456269824","456271871","HK","HKG","Hong Kong"
"456271872","456273919","CN","CHN","China"
"456273920","456286207","AU","AUS","Australia"
"456286208","456294399","JP","JPN","Japan"
"456294400","456327167","CN","CHN","China"
"456327168","456523775","TW","TWN","Taiwan; Republic of China (ROC)"
"456523776","456540159","SG","SGP","Singapore"
"456540160","456542207","AU","AUS","Australia"
"456542208","456544255","CN","CHN","China"
"456544256","456548351","AU","AUS","Australia"
"456548352","456553471","JP","JPN","Japan"
"456553472","456554495","MY","MYS","Malaysia"
"456554496","456555519","PK","PAK","Pakistan"
"456555520","456556543","JP","JPN","Japan"
"456556544","456560639","AU","AUS","Australia"
"456560640","456562687","IN","IND","India"
"456562688","456564735","CN","CHN","China"
"456564736","456572927","IN","IND","India"
"456572928","456589311","CN","CHN","China"
"456589312","456654847","TH","THA","Thailand"
"456654848","457179135","IN","IND","India"
"457179136","458227711","VN","VNM","Viet Nam"
"458227712","459282431","JP","JPN","Japan"
"459282432","459284479","TK","TKL","Tokelau"
"459284480","459292671","JP","JPN","Japan"
"459292672","459293695","NZ","NZL","New Zealand"
"459293696","459297791","JP","JPN","Japan"
"459297792","459298815","IN","IND","India"
"459298816","459299839","PK","PAK","Pakistan"
"459300864","459309055","SG","SGP","Singapore"
"459309056","459325439","KR","KOR","Korea Republic of"
"459325440","459333631","AU","AUS","Australia"
"459333632","459341823","TW","TWN","Taiwan; Republic of China (ROC)"
"459341824","459407359","IN","IND","India"
"459407360","459456511","JP","JPN","Japan"
"459456512","459460607","HK","HKG","Hong Kong"
"459460608","459472895","CN","CHN","China"
"459472896","459505663","AU","AUS","Australia"
